id	file_utt	utt	start	dur	phone
1	s51_u3	1	44.23	0.01	sil
1	s6_u3	1	23.39	0.01	sil
1	s37_u3	1	7.98	0.4	sil
1	s82_u3	1	8.75	0.16	sil
1	s83_u2	1	2.46	0.01	sil
1	s28_u3	1	28.33	0.42	sil
1	s100_u2	1	6.6	0.84	sil
1	s17_u3	1	48.98	0.32	sil
1	s103_u1	1	11.12	0.63	sil
1	s9_u3	1	53.47	0.01	sil
1	s2_u3	1	19.14	0.14	sil
1	s97_u1	1	5	0.01	sil
1	s12_u3	1	0.82	0.06	sil
1	s29_u3	1	41.39	0.24	sil
1	s86_u3	1	15.42	0.34	sil
1	s89_u1	1	3.56	0.01	sil
1	s84_u3	1	45.56	0.03	sil
1	s39_u1	1	8.48	0.29	sil
1	s101_u1	1	7.29	0.28	sil
1	s85_u1	1	5.53	0.08	sil
1	s7_u3	1	8.6	0.01	sil
1	s27_u1	1	10.43	0.02	sil
1	s102_u1	1	14.86	0.01	sil
1	s48_u3	1	45.05	0.11	sil
1	s18_u3	1	30.77	0.02	sil
1	s72_u3	1	3.48	0.03	sil
1	s40_u3	1	14.08	1.74	sil
1	s76_u2	1	10.39	0.23	sil
1	s30_u3	1	7.56	0.04	sil
1	s55_u1	1	1.18	0.11	sil
1	s3_u1	1	21.99	0.18	sil
1	s31_u3	1	7.29	0.11	sil
1	s26_u3	1	21.77	0.17	sil
1	s99_u3	1	24.47	0.14	sil
1	s82_u3	1	3.22	0.01	sil
1	s11_u1	1	12.22	0.01	sil
1	s71_u1	1	9.9	0.22	sil
1	s2_u3	1	8.11	0.02	sil
1	s105_u3	1	22.9	0.22	sil
1	s10_u3	1	17.46	0.09	sil
1	s39_u3	1	28.03	0.72	sil
1	s67_u2	1	9.99	0.13	sil
1	s76_u2	1	4.97	0.01	sil
1	s68_u2	1	4.45	0.17	sil
1	s12_u3	1	56.61	0.07	sil
1	s102_u3	1	17.37	0.15	sil
1	s94_u2	1	17.47	0.1	sil
1	s83_u3	1	6.05	0.09	sil
1	s29_u1	1	2.42	0.01	sil
1	s90_u1	1	9.48	0.01	sil
1	s82_u3	1	34.65	0.16	sil
1	s102_u3	1	104.04	0.72	sil
1	s19_u2	1	2.24	0.23	sil
1	s11_u1	1	19.11	0.18	sil
1	s2_u3	1	17.69	0.07	sil
1	s100_u2	1	2.26	0.36	sil
1	s32_u1	1	16.98	0.41	sil
1	s76_u2	1	14.78	0.01	sil
1	s5_u3	1	27.33	0.01	sil
1	s61_u1	1	11.27	0.07	sil
1	s36_u3	1	43.05	0.01	sil
1	s89_u1	1	7.37	0.1	sil
1	s46_u2	1	20.57	0.02	sil
1	s83_u1	1	1.04	0.01	sil
1	s67_u1	1	10.92	0.12	sil
1	s11_u3	1	54.69	0.2	sil
1	s3_u3	1	8.67	0.01	sil
1	s63_u2	1	0	0.11	sil
1	s50_u1	1	1.68	0.09	sil
1	s35_u1	1	2.33	0.42	sil
1	s98_u1	1	10	0.14	sil
1	s32_u3	1	4.76	0.44	sil
1	s90_u3	1	29.09	0.15	sil
1	s68_u1	1	11.26	0.25	sil
1	s31_u3	1	8.32	0.63	sil
1	s29_u3	1	22.97	0.18	sil
1	s98_u3	1	0.82	0.14	sil
1	s22_u3	1	10.5	0.4	sil
1	s102_u1	1	7.52	0.01	sil
1	s35_u3	1	6.66	0.03	sil
1	s46_u1	1	14.05	0.09	sil
1	s49_u3	1	38.66	0.01	sil
1	s85_u1	1	11.78	0.1	sil
1	s2_u3	1	1.56	0.01	sil
1	s76_u3	1	73.51	0.81	sil
1	s103_u1	1	4.9	0.32	sil
1	s84_u2	1	14.67	0.44	sil
1	s99_u3	1	11.36	0.12	sil
1	s44_u1	1	1.58	0.01	sil
1	s102_u3	1	74.33	0.02	sil
1	s86_u3	1	67.07	0.01	sil
1	s100_u1	1	17.2	0.01	sil
1	s19_u3	1	9.35	0.1	sil
1	s106_u3	1	2.79	0.14	sil
1	s12_u2	1	0.79	0.02	sil
1	s97_u1	1	2	0.02	sil
1	s68_u1	1	5	0.01	sil
1	s2_u1	1	5.12	0.02	sil
1	s104_u1	1	4.82	0.05	sil
1	s76_u3	1	5.04	0.05	sil
1	s91_u1	1	10.86	0.01	sil
1	s100_u1	1	3.67	0.02	sil
1	s11_u2	1	3.06	0.05	sil
1	s99_u3	1	10.19	0.02	sil
1	s43_u1	1	5.13	0.11	sil
1	s98_u3	1	35.51	0.41	sil
1	s17_u3	1	66.39	0.01	sil
1	s29_u3	1	11.85	0.01	sil
1	s52_u1	1	12.98	0.02	sil
1	s52_u1	1	3.2	0.01	sil
1	s27_u3	1	30.6	0.01	sil
1	s20_u2	1	0.75	0.18	sil
1	s3_u1	1	0	0.07	sil
1	s105_u3	1	18.93	0.08	sil
1	s87_u1	1	4.52	0.11	sil
1	s20_u1	1	2.89	0.14	sil
1	s105_u3	1	28.45	0.01	sil
1	s19_u3	1	0.25	0.21	sil
1	s28_u3	1	11.66	0.66	sil
1	s101_u3	1	13.71	0.36	sil
1	s12_u3	1	9.77	0.01	sil
1	s103_u2	1	8.06	0.08	sil
1	s76_u1	1	8.84	0.36	sil
1	s103_u2	1	9.74	0.26	sil
1	s19_u3	1	23.04	0.19	sil
1	s29_u3	1	0	0.02	sil
1	s38_u2	1	2.76	0.15	sil
1	s102_u3	1	96.97	0.2	sil
1	s26_u3	1	26.32	0.27	sil
1	s84_u3	1	19.88	1.95	sil
1	s83_u3	1	21.33	0.45	sil
1	s40_u1	1	3.87	0.02	sil
1	s49_u1	1	8.15	0.01	sil
1	s2_u1	1	17.77	0.02	sil
1	s82_u3	1	73.24	0.16	sil
1	s102_u3	1	88.91	0.13	sil
1	s82_u3	1	73.81	0.13	sil
1	s91_u1	1	14.58	0.27	sil
1	s40_u3	1	11.46	0.14	sil
1	s5_u3	1	58.47	0.01	sil
1	s89_u3	1	21.83	0.01	sil
1	s52_u1	1	3.54	0.04	sil
1	s89_u2	1	10.3	0.01	sil
1	s89_u2	1	14.91	0.04	sil
1	s51_u3	1	30.2	0.01	sil
1	s102_u3	1	106.61	0.06	sil
1	s104_u1	1	9.81	0.14	sil
1	s11_u1	1	7.81	0.06	sil
1	s9_u3	1	16.39	0.73	sil
1	s89_u1	1	6.92	0.04	sil
1	s40_u3	1	0.6	0.08	sil
1	s27_u3	1	1.98	0.1	sil
1	s83_u2	1	13.06	0.15	sil
1	s104_u1	1	16.15	0.04	sil
1	s10_u3	1	18.58	0.18	sil
1	s63_u1	1	16.79	0.01	sil
1	s48_u3	1	30.5	0.01	sil
1	s102_u3	1	54	0.26	sil
1	s70_u2	1	7.92	0.16	sil
1	s100_u1	1	8.59	0.07	sil
1	s89_u3	1	7.26	0.01	sil
1	s105_u3	1	40.22	0.83	sil
1	s103_u1	1	23.36	0.07	sil
